dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name
winogrande-m-option,MC-SENT-SCALE,2.00E-05,64,10,62386,0.5177584846,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_64_max-epochs_10_seed_62386
winogrande-m-option,P-SPAN,3.00E-05,32,40,494462,0.5169692186,winogrande-m-option_P-SPAN_lr_3e-05_bs_32_max-epochs_40_seed_494462
winogrande-m-option,P-SPAN,3.00E-05,32,40,667065,0.5169692186,winogrande-m-option_P-SPAN_lr_3e-05_bs_32_max-epochs_40_seed_667065
winogrande-m-option,P-SENT,1.00E-05,16,20,473408,0.5169692186,winogrande-m-option_P-SENT_lr_1e-05_bs_16_max-epochs_20_seed_473408
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,32,20,976018,0.5169692186,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_32_max-epochs_20_seed_976018
winogrande-m-option,MC-SENT-PAIR,1.00E-05,16,40,623615,0.5169692186,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_16_max-epochs_40_seed_623615
winogrande-m-option,MC-SENT-PAIR,1.00E-05,16,40,346632,0.5169692186,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_16_max-epochs_40_seed_346632
winogrande-m-option,MC-SENT,3.00E-05,8,40,173193,0.5169692186,winogrande-m-option_MC-SENT_lr_3e-05_bs_8_max-epochs_40_seed_173193
winogrande-m-option,P-SPAN,2.00E-05,64,10,152227,0.5161799526,winogrande-m-option_P-SPAN_lr_2e-05_bs_64_max-epochs_10_seed_152227
winogrande-m-option,P-SPAN,1.00E-05,32,20,834042,0.5161799526,winogrande-m-option_P-SPAN_lr_1e-05_bs_32_max-epochs_20_seed_834042
winogrande-m-option,MC-SENT-PAIR,1.00E-05,64,20,562419,0.5161799526,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_64_max-epochs_20_seed_562419
winogrande-m-option,MC-SENT-SCALE,1.00E-05,8,10,835874,0.5161799526,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_8_max-epochs_10_seed_835874
winogrande-m-option,MC-SENT-SCALE,1.00E-05,8,10,440196,0.5161799526,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_8_max-epochs_10_seed_440196
winogrande-m-option,MC-SENT-SCALE,3.00E-05,64,20,892625,0.5161799526,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_64_max-epochs_20_seed_892625
winogrande-m-option,P-SENT,1.00E-05,32,20,640543,0.5153906867,winogrande-m-option_P-SENT_lr_1e-05_bs_32_max-epochs_20_seed_640543
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,8,10,405042,0.5153906867,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_8_max-epochs_10_seed_405042
winogrande-m-option,MC-SENT-SCALE,1.00E-05,32,20,285466,0.5153906867,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_32_max-epochs_20_seed_285466
winogrande-m-option,P-SPAN,3.00E-05,32,10,139991,0.5146014207,winogrande-m-option_P-SPAN_lr_3e-05_bs_32_max-epochs_10_seed_139991
